types,counts,probs,total_unique
the,3510,0.0412407472682411,7598
to,3007,0.035330748443191166,7598
of,2952,0.03468452590764892,7598
and,2071,0.02433321583832687,7598
a,1836,0.021572083186464575,7598
in,1774,0.02084361414639878,7598
that,1155,0.013570673246387029,7598
we,1096,0.0128774527082599,7598
our,799,0.009387851016331807,7598
as,797,0.009364352015039362,7598
for,722,0.00848313946657267,7598
have,719,0.008447890964634002,7598
they,660,0.007754670426506873,7598
or,633,0.007437433909058865,7598
is,627,0.00736693690518153,7598
with,604,0.0070966983903184115,7598
it,578,0.006791211373516626,7598
be,563,0.006614968863823288,7598
their,560,0.00657972036188462,7598
was,547,0.006426976853483727,7598
from,545,0.006403477852191282,7598
are,505,0.00593349782634238,7598
at,493,0.00579250381858771,7598
were,492,0.005780754317941487,7598
us,458,0.005381271295969921,7598
by,395,0.004641052755257902,7598
been,395,0.004641052755257902,7598
more,377,0.0044295617436258955,7598
on,356,0.004182822230055222,7598
but,350,0.004112325226177887,7598
even,348,0.004088826224885442,7598
not,347,0.00407707672423922,7598
an,340,0.003994830219715662,7598
which,339,0.003983080719069439,7598
human,338,0.003971331218423217,7598
what,330,0.0038773352132534366,7598
them,319,0.0037480907061449888,7598
this,314,0.003689343202913876,7598
other,310,0.003642345200328986,7598
how,306,0.003595347197744096,7598
who,291,0.003419104688050758,7598
about,286,0.0033603571848196453,7598
had,283,0.0033251086828809777,7598
people,273,0.0032076136764187524,7598
would,272,0.00319586417577253,7598
might,269,0.0031606156738338623,7598
others,265,0.0031136176712489717,7598
years,255,0.0029961226647867464,7598
such,254,0.002984373164140524,7598
than,242,0.0028433791563858535,7598
humans,225,0.0026436376454000705,7598
only,224,0.002631888144753848,7598
can,215,0.0025261426389378452,7598
so,209,0.00245564563506051,7598
no,209,0.00245564563506051,7598
when,207,0.002432146633768065,7598
there,205,0.00240864763247562,7598
those,202,0.0023733991305369523,7598
if,199,0.0023381506285982847,7598
feel,199,0.0023381506285982847,7598
evidence,196,0.002302902126659617,7598
like,194,0.002279403125367172,7598
i,192,0.002255904124074727,7598
he,187,0.002197156620843614,7598
one,186,0.0021854071201973914,7598
some,175,0.0020561626130889436,7598
out,174,0.002044413112442721,7598
most,174,0.002044413112442721,7598
made,173,0.0020326636117964985,7598
many,170,0.001997415109857831,7598
chimpanzees,170,0.001997415109857831,7598
see,168,0.001973916108565386,7598
these,168,0.001973916108565386,7598
all,167,0.0019621666079191634,7598
any,166,0.0019504171072729408,7598
early,165,0.0019386676066267183,7598
his,165,0.0019386676066267183,7598
help,164,0.0019269181059804958,7598
may,162,0.0019034191046880507,7598
also,159,0.0018681706027493831,7598
being,156,0.0018329221008107155,7598
around,155,0.001821172600164493,7598
could,154,0.0018094230995182705,7598
care,150,0.0017624250969333803,7598
something,148,0.0017389260956409353,7598
time,147,0.0017271765949947128,7598
much,146,0.0017154270943484902,7598
own,137,0.0016096815885324875,7598
different,136,0.001597932087886265,7598
ago,134,0.0015744330865938199,7598
up,133,0.0015626835859475971,7598
sense,132,0.0015509340853013746,7598
emotional,131,0.001539184584655152,7598
world,128,0.0015039360827164845,7598
way,128,0.0015039360827164845,7598
found,127,0.001492186582070262,7598
has,121,0.0014216895781929268,7598
neanderthals,118,0.0013864410762542592,7598
however,118,0.0013864410762542592,7598
make,116,0.0013629420749618141,7598
must,115,0.0013511925743155916,7598
into,114,0.001339443073669369,7598
often,113,0.0013276935730231465,7598
things,112,0.001315944072376924,7598
far,111,0.0013041945717307015,7598
between,111,0.0013041945717307015,7598
each,110,0.001292445071084479,7598
yet,109,0.0012806955704382564,7598
where,109,0.0012806955704382564,7598
emotions,108,0.0012689460697920339,7598
feelings,108,0.0012689460697920339,7598
species,106,0.0012454470684995888,7598
well,105,0.0012336975678533663,7598
rather,102,0.0011984490659146987,7598
palaeolithic,101,0.0011866995652684762,7598
seem,100,0.0011749500646222536,7598
modern,100,0.0011749500646222536,7598
perhaps,99,0.001163200563976031,7598
objects,99,0.001163200563976031,7598
after,98,0.0011514510633298086,7598
social,98,0.0011514510633298086,7598
bones,93,0.0010927035600986957,7598
important,93,0.0010927035600986957,7598
do,92,0.0010809540594524732,7598
same,92,0.0010809540594524732,7598
seen,92,0.0010809540594524732,7598
million,91,0.0010692045588062507,7598
need,90,0.0010574550581600281,7598
just,89,0.0010457055575138056,7598
over,89,0.0010457055575138056,7598
group,87,0.0010222065562213605,7598
food,87,0.0010222065562213605,7598
apes,86,0.001010457055575138,7598
societies,86,0.001010457055575138,7598
vulnerable,86,0.001010457055575138,7598
art,85,0.0009987075549289155,7598
violence,85,0.0009987075549289155,7598
did,84,0.000986958054282693,7598
animals,83,0.0009752085536364704,7598
neanderthal,83,0.0009752085536364704,7598
through,82,0.0009634590529902479,7598
children,82,0.0009634590529902479,7598
find,81,0.0009517095523440254,7598
little,81,0.0009517095523440254,7598
certain,80,0.0009399600516978028,7598
someone,79,0.0009282105510515803,7598
know,79,0.0009282105510515803,7598
difficult,79,0.0009282105510515803,7598
certainly,79,0.0009282105510515803,7598
first,78,0.0009164610504053578,7598
ancestors,76,0.0008929620491129127,7598
why,76,0.0008929620491129127,7598
ourselves,76,0.0008929620491129127,7598
seems,76,0.0008929620491129127,7598
think,75,0.0008812125484666902,7598
though,74,0.0008694630478204676,7598
part,74,0.0008694630478204676,7598
almost,72,0.0008459640465280226,7598
tools,72,0.0008459640465280226,7598
very,72,0.0008459640465280226,7598
will,69,0.000810715544589355,7598
while,68,0.0007989660439431325,7598
past,68,0.0007989660439431325,7598
small,68,0.0007989660439431325,7598
man,68,0.0007989660439431325,7598
material,68,0.0007989660439431325,7598
stone,67,0.0007872165432969099,7598
brain,67,0.0007872165432969099,7598
themselves,67,0.0007872165432969099,7598
living,66,0.0007754670426506873,7598
felt,66,0.0007754670426506873,7598
life,66,0.0007754670426506873,7598
sensitivity,66,0.0007754670426506873,7598
her,66,0.0007754670426506873,7598
cave,64,0.0007519680413582422,7598
without,64,0.0007519680413582422,7598
two,63,0.0007402185407120197,7598
both,63,0.0007402185407120197,7598
hunter-gatherers,63,0.0007402185407120197,7598
able,63,0.0007402185407120197,7598
university,63,0.0007402185407120197,7598
trust,63,0.0007402185407120197,7598
back,62,0.0007284690400657972,7598
least,62,0.0007284690400657972,7598
story,62,0.0007284690400657972,7598
can't,62,0.0007284690400657972,7598
don't,62,0.0007284690400657972,7598
kind,62,0.0007284690400657972,7598
less,61,0.0007167195394195746,7598
its,61,0.0007167195394195746,7598
new,61,0.0007167195394195746,7598
feeling,61,0.0007167195394195746,7598
chapter,61,0.0007167195394195746,7598
my,60,0.0007049700387733521,7598
look,60,0.0007049700387733521,7598
common,60,0.0007049700387733521,7598
remains,59,0.0006932205381271296,7598
form,59,0.0006932205381271296,7598
upper,59,0.0006932205381271296,7598
away,58,0.0006814710374809071,7598
young,57,0.0006697215368346845,7598
better,57,0.0006697215368346845,7598
become,57,0.0006697215368346845,7598
take,57,0.0006697215368346845,7598
me,56,0.000657972036188462,7598
you,56,0.000657972036188462,7598
use,56,0.000657972036188462,7598
sites,55,0.0006462225355422395,7598
humanity,55,0.0006462225355422395,7598
making,55,0.0006462225355422395,7598
give,54,0.0006344730348960169,7598
because,54,0.0006344730348960169,7598
child,54,0.0006344730348960169,7598
saw,54,0.0006344730348960169,7598
several,53,0.0006227235342497944,7598
great,52,0.0006109740336035719,7598
good,52,0.0006109740336035719,7598
particularly,52,0.0006109740336035719,7598
minds,52,0.0006109740336035719,7598
evolved,52,0.0006109740336035719,7598
groups,52,0.0006109740336035719,7598
brains,51,0.0005992245329573493,7598
tell,51,0.0005992245329573493,7598
evolutionary,51,0.0005992245329573493,7598
homo,51,0.0005992245329573493,7598
long,50,0.0005874750323111268,7598
old,50,0.0005874750323111268,7598
before,50,0.0005874750323111268,7598
used,50,0.0005874750323111268,7598
beyond,50,0.0005874750323111268,7598
lives,49,0.0005757255316649043,7598
survival,49,0.0005757255316649043,7598
him,49,0.0005757255316649043,7598
similar,49,0.0005757255316649043,7598
ways,48,0.0005639760310186818,7598
hard,48,0.0005639760310186818,7598
animal,48,0.0005639760310186818,7598
put,48,0.0005639760310186818,7598
few,47,0.0005522265303724591,7598
together,47,0.0005522265303724591,7598
right,47,0.0005522265303724591,7598
she,47,0.0005522265303724591,7598
aggression,47,0.0005522265303724591,7598
survive,47,0.0005522265303724591,7598
signs,47,0.0005522265303724591,7598
peoples,46,0.0005404770297262366,7598
complex,46,0.0005404770297262366,7598
come,45,0.0005287275290800141,7598
archaeological,45,0.0005287275290800141,7598
bone,45,0.0005287275290800141,7598
close,45,0.0005287275290800141,7598
compassion,45,0.0005287275290800141,7598
still,44,0.0005169780284337915,7598
example,44,0.0005169780284337915,7598
later,43,0.000505228527787569,7598
here,43,0.000505228527787569,7598
evolution,43,0.000505228527787569,7598
ape,43,0.000505228527787569,7598
thought,43,0.000505228527787569,7598
men,43,0.000505228527787569,7598
