types,counts,probs,total_unique
the,8377,0.06259433609803482,12796
and,4750,0.03549278935963536,12796
of,4729,0.03533587386983487,12796
to,3657,0.02732571172382874,12796
a,2817,0.02104909213180901,12796
in,2682,0.02004034969737727,12796
that,1707,0.012754987670925802,12796
is,1282,0.009579317044011059,12796
it,1026,0.007666442501681237,12796
they,930,0.006949114548307554,12796
was,903,0.006747366061421206,12796
as,900,0.006724949562878279,12796
for,897,0.0067025330643353505,12796
are,800,0.0059777329447806915,12796
their,793,0.005925427781513861,12796
not,777,0.005805873122618247,12796
by,718,0.005365015317940671,12796
but,705,0.005267877157587985,12796
were,689,0.005148322498692371,12796
or,668,0.0049914070088918775,12796
from,652,0.004871852349996264,12796
on,651,0.004864380183815288,12796
have,636,0.00475229769110065,12796
with,632,0.004722409026376747,12796
be,544,0.0040648584024508706,12796
an,516,0.0038556377493835464,12796
we,512,0.003825749084659643,12796
this,494,0.0036912500934020774,12796
more,481,0.003594111933049391,12796
all,475,0.0035492789359635357,12796
people,466,0.0034820294403347532,12796
most,433,0.0032354479563625497,12796
if,431,0.0032205036240005977,12796
had,390,0.0029141448105805875,12796
than,380,0.0028394231487708288,12796
even,373,0.0027871179855039974,12796
human,370,0.00276470148696107,12796
at,358,0.0026750354927893598,12796
one,356,0.0026600911604274077,12796
such,355,0.002652618994246432,12796
no,348,0.002600313830979601,12796
them,343,0.0025629530000747217,12796
would,339,0.002533064335350818,12796
world,338,0.0025255921691698423,12796
who,337,0.0025181200029888665,12796
could,336,0.0025106478368078907,12796
only,335,0.002503175670626915,12796
about,333,0.002488231338264963,12796
our,325,0.0024284540088171562,12796
years,319,0.002383621011731301,12796
these,318,0.002376148845550325,12796
when,318,0.002376148845550325,12796
other,305,0.002279010685197639,12796
can,297,0.002219233355749832,12796
there,290,0.0021669281924830007,12796
so,286,0.0021370395277590976,12796
which,283,0.00211462302921617,12796
sapiens,282,0.002107150863035194,12796
new,282,0.002107150863035194,12796
his,281,0.002099678696854218,12796
into,277,0.0020697900321303146,12796
its,276,0.002062317865949339,12796
he,262,0.0019577075394156766,12796
did,250,0.0018680415452439663,12796
what,249,0.0018605693790629903,12796
has,247,0.0018456250467010387,12796
humans,235,0.0017559590525293282,12796
you,233,0.0017410147201673766,12796
order,219,0.0016364043936337143,12796
some,216,0.0016139878950907868,12796
many,214,0.0015990435627288352,12796
history,212,0.0015840992303668834,12796
first,211,0.0015766270641859074,12796
time,208,0.0015542105656429798,12796
between,206,0.0015392662332810282,12796
how,203,0.0015168497347381007,12796
modern,203,0.0015168497347381007,12796
been,194,0.0014496002391093177,12796
will,191,0.0014271837405663902,12796
just,190,0.0014197115743854144,12796
money,189,0.0014122394082044384,12796
yet,187,0.0013972950758424868,12796
us,185,0.001382350743480535,12796
do,183,0.0013674064111185832,12796
up,175,0.0013076290816707763,12796
empire,175,0.0013076290816707763,12796
out,171,0.001277740416946873,12796
two,165,0.0012329074198610178,12796
revolution,162,0.00121049092131809,12796
because,162,0.00121049092131809,12796
also,159,0.0011880744227751624,12796
over,152,0.0011357692595083315,12796
today,150,0.0011208249271463797,12796
homo,147,0.0010984084286034521,12796
social,147,0.0010984084286034521,12796
might,144,0.0010759919300605246,12796
like,142,0.0010610475976985728,12796
same,141,0.001053575431517597,12796
another,140,0.001046103265336621,12796
much,139,0.0010386310991556452,12796
different,138,0.0010311589329746694,12796
far,138,0.0010311589329746694,12796
her,138,0.0010311589329746694,12796
life,136,0.0010162146006127176,12796
species,135,0.0010087424344317419,12796
few,133,0.00099379810206979,12796
way,130,0.0009713816035268624,12796
why,130,0.0009713816035268624,12796
then,129,0.0009639094373458866,12796
very,127,0.0009489651049839348,12796
ancient,127,0.0009489651049839348,12796
good,126,0.000941492938802959,12796
any,124,0.0009265486064410072,12796
example,124,0.0009265486064410072,12796
ago,122,0.0009116042740790556,12796
every,119,0.0008891877755361279,12796
political,117,0.0008742434431741762,12796
without,116,0.0008667712769932003,12796
animals,113,0.0008443547784502727,12796
rather,113,0.0008443547784502727,12796
important,111,0.0008294104460883211,12796
never,110,0.0008219382799073452,12796
made,109,0.0008144661137263693,12796
after,108,0.0008069939475453934,12796
know,108,0.0008069939475453934,12796
large,107,0.0007995217813644176,12796
those,107,0.0007995217813644176,12796
each,106,0.0007920496151834417,12796
empires,106,0.0007920496151834417,12796
may,105,0.0007845774490024658,12796
power,104,0.0007771052828214899,12796
around,104,0.0007771052828214899,12796
system,104,0.0007771052828214899,12796
