types,counts,probs,total_unique
the,13547,0.0549306625577812,18614
of,11614,0.04709269321222934,18614
and,6998,0.028375638634336224,18614
to,6171,0.025022301516503122,18614
in,5753,0.023327386262265833,18614
a,4334,0.017573595004460305,18614
that,2605,0.010562809180115157,18614
as,2566,0.010404671154002109,18614
is,1930,0.007825804882004704,18614
or,1827,0.0074081583002189606,18614
for,1762,0.00714459492336388,18614
was,1573,0.006378233719892953,18614
on,1548,0.006276863190333306,18614
it,1512,0.006130889627767416,18614
this,1441,0.005842997323818019,18614
were,1422,0.005765955721352688,18614
with,1337,0.005421295920849891,18614
we,1293,0.005242883788824913,18614
from,1157,0.0046914281080204364,18614
they,1157,0.0046914281080204364,18614
have,1153,0.004675208823290893,18614
their,1143,0.004634660611467035,18614
at,1127,0.00456978347254886,18614
be,1111,0.004504906333630687,18614
by,1105,0.004480577406536372,18614
but,1076,0.004362987592247182,18614
are,995,0.004034547076473927,18614
which,967,0.003921012083367124,18614
not,959,0.0038885735139080366,18614
an,894,0.003625010137052956,18614
what,806,0.0032681858730030005,18614
one,790,0.003203308734084827,18614
all,769,0.003118157489254724,18614
such,700,0.0028383748276701,18614
some,681,0.0027613332252047684,18614
these,633,0.0025667018084502475,18614
more,618,0.0025058794907144594,18614
so,594,0.0024085637823371988,18614
also,580,0.002351796285783797,18614
even,574,0.002327467358689482,18614
who,571,0.0023153028951423244,18614
other,559,0.002266645040953694,18614
there,557,0.002258535398588922,18614
no,529,0.002145000405482118,18614
people,523,0.002120671478387803,18614
human,514,0.0020841780877463305,18614
most,514,0.0020841780877463305,18614
had,509,0.0020639039818344013,18614
been,507,0.0020557943394696296,18614
about,498,0.0020193009488281566,18614
would,495,0.002007136485280999,18614
if,495,0.002007136485280999,18614
social,486,0.0019706430946395265,18614
like,485,0.0019665882734571406,18614
see,469,0.001901711134538967,18614
into,467,0.001893601492174195,18614
its,461,0.00186927256507988,18614
societies,456,0.0018489984591679508,18614
them,445,0.0018043954261617063,18614
first,440,0.001784121320249777,18614
much,435,0.0017638472143378476,18614
he,431,0.0017476279296083043,18614
his,427,0.0017314086448787609,18614
only,425,0.0017232990025139892,18614
how,418,0.001694915254237288,18614
history,410,0.0016624766847782013,18614
time,403,0.0016340929365015002,18614
new,381,0.0015448868704890115,18614
any,381,0.0015448868704890115,18614
just,376,0.001524612764577082,18614
those,367,0.0014881193739356095,18614
could,360,0.0014597356256589083,18614
our,359,0.0014556808044765225,18614
way,355,0.0014394615197469791,18614
between,352,0.0014272970561998216,18614
might,352,0.0014272970561998216,18614
out,342,0.001386748844375963,18614
can,338,0.0013705295596464196,18614
do,331,0.0013421458113697187,18614
when,330,0.0013380909901873326,18614
many,324,0.0013137620630930176,18614
than,322,0.0013056524207282459,18614
very,321,0.00130159759954586,18614
did,321,0.00130159759954586,18614
early,320,0.0012975427783634742,18614
over,314,0.001273213851269159,18614
same,310,0.0012569945665396156,18614
where,308,0.0012488849241748439,18614
evidence,297,0.0012042818911685994,18614
up,294,0.0011921174276214419,18614
different,291,0.0011799529640742843,18614
it's,289,0.0011718433217095126,18614
world,288,0.0011677885005271268,18614
state,287,0.001163733679344741,18614
political,283,0.0011475143946151974,18614
often,276,0.0011191306463384965,18614
press,273,0.001106966182791339,18614
has,272,0.001102911361608953,18614
ancient,268,0.0010866920768794095,18614
really,267,0.0010826372556970237,18614
almost,265,0.001074527613332252,18614
et,265,0.001074527613332252,18614
university,264,0.0010704727921498661,18614
society,264,0.0010704727921498661,18614
life,260,0.0010542535074203228,18614
then,260,0.0010542535074203228,18614
us,254,0.0010299245803260077,18614
among,251,0.00101776011677885,18614
american,247,0.0010015408320493066,18614
al,244,0.000989376368502149,18614
around,241,0.0009772119049549916,18614
least,240,0.0009731570837726056,18614
great,240,0.0009731570837726056,18614
own,238,0.0009650474414078339,18614
fact,233,0.0009447733354959046,18614
cities,229,0.0009285540507663612,18614
european,227,0.0009204444084015895,18614
power,225,0.0009123347660368177,18614
themselves,220,0.0008920606601248885,18614
still,218,0.0008839510177601167,18614
later,217,0.0008798961965777309,18614
now,209,0.000847457627118644,18614
since,206,0.0008352931635714865,18614
neolithic,205,0.0008312383423891007,18614
each,205,0.0008312383423891007,18614
years,204,0.0008271835212067148,18614
here,204,0.0008271835212067148,18614
kind,203,0.0008231287000243289,18614
seems,200,0.0008109642364771714,18614
case,200,0.0008109642364771714,18614
point,199,0.0008069094152947855,18614
before,197,0.0007987997729300138,18614
why,196,0.000794744951747628,18614
sense,195,0.000790690130565242,18614
something,193,0.0007825804882004703,18614
city,192,0.0007785256670180845,18614
indigenous,191,0.0007744708458356987,18614
de,190,0.0007704160246533128,18614
pp,190,0.0007704160246533128,18614
forms,186,0.0007541967399237693,18614
well,184,0.0007460870975589977,18614
women,182,0.000737977455194226,18614
made,181,0.0007339226340118401,18614
actually,181,0.0007339226340118401,18614
long,180,0.0007298678128294542,18614
another,180,0.0007298678128294542,18614
seem,179,0.0007258129916470683,18614
north,178,0.0007217581704646825,18614
back,177,0.0007177033492822966,18614
ritual,176,0.0007136485280999108,18614
bc,174,0.0007055388857351391,18614
far,174,0.0007055388857351391,18614
because,174,0.0007055388857351391,18614
perhaps,174,0.0007055388857351391,18614
know,171,0.0006933744221879815,18614
farming,171,0.0006933744221879815,18614
after,169,0.0006852647798232098,18614
form,168,0.000681209958640824,18614
modern,167,0.0006771551374584381,18614
eds,166,0.0006731003162760523,18614
make,165,0.0006690454950936663,18614
will,165,0.0006690454950936663,18614
living,164,0.0006649906739112805,18614
two,162,0.0006568810315465088,18614
coast,162,0.0006568810315465088,18614
found,161,0.0006528262103641229,18614
came,160,0.0006487713891817371,18614
work,160,0.0006487713891817371,18614
place,160,0.0006487713891817371,18614
simply,160,0.0006487713891817371,18614
being,159,0.0006447165679993513,18614
age,158,0.0006406617468169654,18614
archaeology,157,0.0006366069256345795,18614
may,157,0.0006366069256345795,18614
you,156,0.0006325521044521936,18614
largely,156,0.0006325521044521936,18614
little,155,0.0006284972832698078,18614
things,151,0.0006122779985402644,18614
century,150,0.0006082231773578786,18614
entirely,148,0.0006001135349931068,18614
while,147,0.0005960587138107209,18614
through,147,0.0005960587138107209,18614
both,146,0.0005920038926283351,18614
say,146,0.0005920038926283351,18614
quite,145,0.0005879490714459492,18614
come,145,0.0005879490714459492,18614
system,145,0.0005879490714459492,18614
sort,144,0.0005838942502635634,18614
culture,143,0.0005798394290811776,18614
archaeological,142,0.0005757846078987916,18614
certain,142,0.0005757846078987916,18614
important,142,0.0005757846078987916,18614
origins,141,0.0005717297867164058,18614
course,141,0.0005717297867164058,18614
never,141,0.0005717297867164058,18614
find,140,0.0005676749655340199,18614
europe,140,0.0005676749655340199,18614
likely,139,0.0005636201443516341,18614
states,139,0.0005636201443516341,18614
civilization,137,0.0005555105019868624,18614
ways,137,0.0005555105019868624,18614
nature,137,0.0005555105019868624,18614
groups,136,0.0005514556808044766,18614
men,136,0.0005514556808044766,18614
period,133,0.0005392912172573189,18614
freedom,132,0.0005352363960749331,18614
property,131,0.0005311815748925472,18614
we've,131,0.0005311815748925472,18614
urban,131,0.0005311815748925472,18614
anything,130,0.0005271267537101614,18614
others,129,0.0005230719325277755,18614
royal,129,0.0005230719325277755,18614
part,128,0.0005190171113453897,18614
rather,128,0.0005190171113453897,18614
take,128,0.0005190171113453897,18614
french,126,0.0005109074689806179,18614
large,125,0.0005068526477982321,18614
seen,125,0.0005068526477982321,18614
appear,125,0.0005068526477982321,18614
once,124,0.0005027978266158462,18614
complex,122,0.0004946881842510745,18614
times,121,0.0004906333630686887,18614
cultural,121,0.0004906333630686887,18614
reason,120,0.0004865785418863028,18614
similar,120,0.0004865785418863028,18614
teotihuacan,119,0.00048252372070391696,18614
called,119,0.00048252372070391696,18614
example,119,0.00048252372070391696,18614
central,118,0.0004784688995215311,18614
itself,118,0.0004784688995215311,18614
always,118,0.0004784688995215311,18614
possible,118,0.0004784688995215311,18614
known,118,0.0004784688995215311,18614
indeed,118,0.0004784688995215311,18614
true,116,0.0004703592571567594,18614
few,116,0.0004703592571567594,18614
kings,116,0.0004703592571567594,18614
considered,115,0.00046630443597437353,18614
should,115,0.00046630443597437353,18614
cambridge,115,0.00046630443597437353,18614
america,113,0.0004581947936096018,18614
must,113,0.0004581947936096018,18614
northwest,113,0.0004581947936096018,18614
terms,112,0.00045413997242721595,18614
population,112,0.00045413997242721595,18614
systems,112,0.00045413997242721595,18614
including,111,0.0004500851512448301,18614
journal,111,0.0004500851512448301,18614
foragers,111,0.0004500851512448301,18614
yet,111,0.0004500851512448301,18614
ever,111,0.0004500851512448301,18614
agriculture,110,0.00044603033006244426,18614
equality,110,0.00044603033006244426,18614
violence,110,0.00044603033006244426,18614
war,109,0.00044197550888005837,18614
without,109,0.00044197550888005837,18614
humans,109,0.00044197550888005837,18614
archaeologists,109,0.00044197550888005837,18614
knowledge,109,0.00044197550888005837,18614
inequality,108,0.0004379206876976725,18614
anyone,108,0.0004379206876976725,18614
took,108,0.0004379206876976725,18614
question,107,0.0004338658665152867,18614
egalitarian,107,0.0004338658665152867,18614
land,107,0.0004338658665152867,18614
used,107,0.0004338658665152867,18614
began,106,0.00042981104533290084,18614
