types,counts,probs,total_unique
the,38309,0.05768376545840291,32652
of,27789,0.04184327855917822,32652
and,19639,0.029571418461394838,32652
to,17335,0.0261021711405,32652
in,14591,0.021970393949295383,32652
a,13087,0.019705746392600143,32652
that,7751,0.011671065965388838,32652
is,5958,0.008971256743876492,32652
as,5812,0.008751417286910066,32652
for,4840,0.007287828573407556,32652
it,4383,0.006599700958108538,32652
was,4222,0.006357275255563369,32652
or,3792,0.005709802882306086,32652
on,3712,0.005589342905886126,32652
we,3657,0.005506526672097404,32652
with,3542,0.005333365455993712,32652
by,3465,0.0052174227286895004,32652
they,3348,0.0050412500131753095,32652
from,3216,0.004842491052082377,32652
have,3147,0.004738594322420161,32652
are,3145,0.0047355828230096625,32652
were,3138,0.004725042575072916,32652
this,3122,0.004700950579788924,32652
their,3064,0.004613617096884453,32652
be,2987,0.004497674369580242,32652
not,2847,0.004286869410845313,32652
but,2790,0.004201041677646092,32652
at,2729,0.004109190945625872,32652
an,2455,0.0036966155263875107,32652
which,2222,0.0033457758450643783,32652
more,2103,0.0031665916301396885,32652
human,1914,0.0028820049358475337,32652
one,1877,0.0028262921967533027,32652
all,1862,0.00280370595117456,32652
our,1834,0.002761544959427574,32652
what,1777,0.002675717226228353,32652
people,1653,0.0024890042627774157,32652
such,1635,0.0024619007680829245,32652
had,1611,0.0024257627751569366,32652
who,1555,0.002341440791662965,32652
other,1550,0.0023339120431367173,32652
even,1521,0.0022902453016844823,32652
most,1447,0.0021788198234960194,32652
about,1424,0.002144187580275281,32652
been,1399,0.0021065438376440438,32652
these,1398,0.0021050380879387943,32652
would,1392,0.0020960035897072972,32652
so,1386,0.0020869690914758,32652
if,1381,0.002079440342949553,32652
there,1370,0.0020628770961918083,32652
than,1361,0.002049325348844563,32652
no,1358,0.0020448080997288146,32652
his,1348,0.0020297506026763193,32652
how,1346,0.0020267391032658204,32652
them,1346,0.0020267391032658204,32652
new,1303,0.0019619918659400924,32652
he,1290,0.0019424171197718488,32652
only,1287,0.0019378998706561003,32652
some,1283,0.0019318768718351023,32652
can,1246,0.001876164132740871,32652
also,1245,0.0018746583830356214,32652
when,1175,0.0017692559036681568,32652
into,1167,0.0017572099060261608,32652
its,1104,0.0016623476745954427,32652
social,1092,0.0016442786781324487,32652
first,1088,0.0016382556793114508,32652
us,1084,0.0016322326804904528,32652
years,1077,0.0016216924325537063,32652
could,1055,0.0015885659390382175,32652
world,1035,0.0015584509449332274,32652
time,1031,0.0015524279461122295,32652
has,1019,0.0015343589496492355,32652
like,1014,0.0015268302011229881,32652
see,973,0.0014650944632077587,32652
i,948,0.0014274507205765214,32652
much,943,0.001419921972050274,32652
societies,942,0.0014184162223450244,32652
many,942,0.0014184162223450244,32652
between,937,0.001410887473818777,32652
out,889,0.0013386114879668013,32652
history,888,0.0013371057382615518,32652
those,874,0.0013160252423880588,32652
any,862,0.0012979562459250649,32652
might,839,0.0012633240027043265,32652
do,824,0.001240737757125584,32652
just,821,0.0012362205080098355,32652
did,817,0.0012301975091888375,32652
way,816,0.001228691759483588,32652
up,805,0.0012121285127258436,32652
