types,counts,probs,total_unique
of the,903,0.006499442185194515,80490
in the,710,0.0051103033792780795,80490
to the,359,0.0025839421312124373,80490
and the,340,0.002447187533738799,80490
on the,227,0.0016338575592903155,80490
that the,205,0.0014755101306366287,80490
the world,188,0.0013531507539496887,80490
such as,184,0.001324360312376291,80490
of a,179,0.001288372260409544,80490
it is,169,0.00121639615647605,80490
from the,165,0.0011876057149026523,80490
to be,158,0.0011372224421492064,80490
in a,150,0.001079641559002411,80490
by the,141,0.0010148630654622664,80490
for the,138,0.0009932702342822183,80490
the same,137,0.000986072623888869,80490
the first,136,0.0009788750134955195,80490
did not,132,0.0009500845719221219,80490
with the,131,0.0009428869615287725,80490
homo sapiens,130,0.000935689351135423,80490
the most,127,0.0009140965199553749,80490
it was,127,0.0009140965199553749,80490
years ago,115,0.0008277251952351819,80490
as the,114,0.0008205275848418326,80490
in order,112,0.0008061323640551337,80490
order to,112,0.0008061323640551337,80490
is a,103,0.000741353870514989,80490
have been,102,0.0007341562601216396,80490
at the,101,0.0007269586497282903,80490
of their,100,0.0007197610393349408,80490
as a,99,0.0007125634289415914,80490
that they,95,0.0006837729873681937,80490
is the,94,0.0006765753769748444,80490
is not,94,0.0006765753769748444,80490
there is,92,0.0006621801561881455,80490
for example,92,0.0006621801561881455,80490
they were,89,0.0006405873250080973,80490
to a,87,0.0006261921042213985,80490
most of,86,0.0006189944938280491,80490
about the,83,0.0005974016626480008,80490
one of,83,0.0005974016626480008,80490
they are,82,0.0005902040522546514,80490
more than,81,0.0005830064418613021,80490
a single,80,0.0005758088314679527,80490
a few,76,0.000547018389894555,80490
when the,76,0.000547018389894555,80490
rather than,72,0.0005182279483211574,80490
all the,71,0.000511030337927808,80490
was the,71,0.000511030337927808,80490
the last,70,0.0005038327275344585,80490
was a,70,0.0005038327275344585,80490
out of,68,0.0004894375067477598,80490
this is,68,0.0004894375067477598,80490
thousands of,66,0.00047504228596106094,80490
would be,65,0.0004678446755677115,80490
the other,64,0.0004606470651743621,80490
agricultural revolution,63,0.0004534494547810127,80490
for a,63,0.0004534494547810127,80490
not only,62,0.0004462518443876633,80490
if the,62,0.0004462518443876633,80490
the entire,61,0.00043905423399431386,80490
with a,61,0.00043905423399431386,80490
and that,61,0.00043905423399431386,80490
of all,59,0.0004246590132076151,80490
is that,59,0.0004246590132076151,80490
over the,59,0.0004246590132076151,80490
of these,58,0.00041746140281426566,80490
on a,58,0.00041746140281426566,80490
would have,58,0.00041746140281426566,80490
and a,57,0.0004102637924209163,80490
millions of,57,0.0004102637924209163,80490
to make,57,0.0004102637924209163,80490
the agricultural,56,0.00040306618202756684,80490
according to,56,0.00040306618202756684,80490
had to,55,0.00039586857163421746,80490
we are,54,0.000388670961240868,80490
and even,54,0.000388670961240868,80490
but the,54,0.000388670961240868,80490
the human,54,0.000388670961240868,80490
but also,54,0.000388670961240868,80490
a new,54,0.000388670961240868,80490
per cent,53,0.00038147335084751864,80490
from a,52,0.0003742757404541692,80490
the british,52,0.0003742757404541692,80490
is no,51,0.0003670781300608198,80490
able to,51,0.0003670781300608198,80490
to their,51,0.0003670781300608198,80490
in fact,51,0.0003670781300608198,80490
to do,50,0.0003598805196674704,80490
and more,50,0.0003598805196674704,80490
there are,49,0.000352682909274121,80490
can be,49,0.000352682909274121,80490
people who,48,0.00034548529888077156,80490
of them,48,0.00034548529888077156,80490
by a,48,0.00034548529888077156,80490
the middle,47,0.0003382876884874222,80490
if we,47,0.0003382876884874222,80490
the new,47,0.0003382876884874222,80490
or the,47,0.0003382876884874222,80490
in their,46,0.00033109007809407274,80490
we can,46,0.00033109007809407274,80490
of years,46,0.00033109007809407274,80490
and to,46,0.00033109007809407274,80490
into the,46,0.00033109007809407274,80490
of human,45,0.00032389246770072336,80490
believe in,45,0.00032389246770072336,80490
the great,44,0.000316694857307374,80490
that we,44,0.000316694857307374,80490
believe that,44,0.000316694857307374,80490
part of,44,0.000316694857307374,80490
the modern,44,0.000316694857307374,80490
and they,43,0.00030949724691402454,80490
the future,43,0.00030949724691402454,80490
but they,43,0.00030949724691402454,80490
and in,43,0.00030949724691402454,80490
they could,43,0.00030949724691402454,80490
of history,42,0.00030229963652067516,80490
of our,42,0.00030229963652067516,80490
just as,42,0.00030229963652067516,80490
even if,42,0.00030229963652067516,80490
do not,42,0.00030229963652067516,80490
at least,41,0.0002951020261273257,80490
between the,41,0.0002951020261273257,80490
number of,41,0.0002951020261273257,80490
