types,counts,probs,total_unique
of the,693,0.009222415926965918,45093
in the,510,0.006787059340191369,45093
to the,260,0.0034600694675485408,45093
and the,170,0.002262353113397123,45093
on the,167,0.0022224292349254087,45093
of code,152,0.002022809842566839,45093
at the,147,0.001956270045113983,45093
of a,140,0.0018631143286799835,45093
to be,127,0.0016901108553025565,45093
for the,119,0.0015836471793779859,45093
by the,116,0.001543723300906272,45093
advance of,112,0.0014904914629439868,45093
that the,109,0.001450567584472273,45093
as the,108,0.0014372596249817016,45093
in a,105,0.0013973357465099877,45093
the advance,103,0.001370719827528845,45093
as a,100,0.0013307959490571311,45093
it is,95,0.0012642561516042746,45093
from the,94,0.0012509481921137032,45093
is a,91,0.0012110243136419893,45093
the same,87,0.0011577924756797041,45093
the first,86,0.0011444845161891328,45093
with the,82,0.0010912526782268475,45093
is the,82,0.0010912526782268475,45093
the economy,74,0.000984789002302277,45093
the human,73,0.0009714810428117056,45093
to a,69,0.0009182492048494204,45093
more than,58,0.000771861650453136,45093
the world,58,0.000771861650453136,45093
that is,58,0.000771861650453136,45093
code economics,57,0.0007585536909625648,45093
it was,53,0.0007053218530002794,45093
the most,52,0.0006920138935097082,45093
in this,51,0.0006787059340191368,45093
is not,51,0.0006787059340191368,45093
about the,50,0.0006653979745285656,45093
in which,50,0.0006653979745285656,45093
can be,49,0.0006520900150379942,45093
the past,49,0.0006520900150379942,45093
with a,48,0.000638782055547423,45093
over the,47,0.0006254740960568516,45093
have been,47,0.0006254740960568516,45093
which is,46,0.0006121661365662803,45093
has been,45,0.000598858177075709,45093
of work,45,0.000598858177075709,45093
for a,44,0.0005855502175851376,45093
was a,44,0.0005855502175851376,45093
evolution of,43,0.0005722422580945664,45093
of this,43,0.0005722422580945664,45093
of human,42,0.000558934298603995,45093
in his,42,0.000558934298603995,45093
human advantage,42,0.000558934298603995,45093
number of,42,0.000558934298603995,45093
on a,41,0.0005456263391134238,45093
of production,39,0.0005190104201322812,45093
text box,39,0.0005190104201322812,45093
the code,38,0.0005057024606417098,45093
the evolution,37,0.0004923945011511385,45093
to produce,37,0.0004923945011511385,45093
a new,37,0.0004923945011511385,45093
at a,37,0.0004923945011511385,45093
was the,37,0.0004923945011511385,45093
there is,36,0.0004790865416605672,45093
