types,counts,probs,total_unique
of the,622,0.007492621815334578,49708
in the,453,0.005456845148467144,49708
to the,218,0.0026260314401011864,49708
and the,188,0.002264650966692766,49708
on the,144,0.0017346262723604167,49708
it is,132,0.0015900740829970488,49708
by the,125,0.001505751972535084,49708
from the,119,0.0014334758778534,49708
to be,106,0.0012768776727097512,49708
the most,102,0.0012286936095886286,49708
during the,99,0.0011925555622477866,49708
that the,98,0.001180509546467506,49708
for the,94,0.001132325483346383,49708
as the,92,0.0011082334517858218,49708
it was,90,0.0010841414202252605,49708
in a,90,0.0010841414202252605,49708
at the,88,0.0010600493886646991,49708
the first,86,0.0010359573571041378,49708
of a,83,0.0009998193097632958,49708
is the,83,0.0009998193097632958,49708
new york,83,0.0009998193097632958,49708
with the,82,0.0009877732939830152,49708
is a,80,0.0009636812624224538,49708
as a,77,0.0009275432150816118,49708
of human,77,0.0009275432150816118,49708
university press,77,0.0009275432150816118,49708
this is,75,0.0009034511835210505,49708
such as,72,0.0008673131361802084,49708
the same,72,0.0008673131361802084,49708
one of,71,0.0008552671203999277,49708
cultural evolution,68,0.0008191290730590857,49708
evolution of,65,0.0007829910257182436,49708
there is,65,0.0007829910257182436,49708
is that,63,0.0007588989941576823,49708
was the,59,0.0007107149310365597,49708
the evolution,59,0.0007107149310365597,49708
is not,56,0.0006745768836957176,49708
for example,55,0.0006625308679154369,49708
of war,53,0.0006384388363548756,49708
need to,52,0.000626392820574595,49708
was a,46,0.0005541167258929109,49708
by a,46,0.0005541167258929109,49708
the other,46,0.0005541167258929109,49708
of cooperation,46,0.0005541167258929109,49708
to a,46,0.0005541167258929109,49708
but the,45,0.0005420707101126302,49708
archaic states,45,0.0005420707101126302,49708
of cultural,45,0.0005420707101126302,49708
the rise,44,0.0005300246943323496,49708
over the,43,0.0005179786785520689,49708
years ago,43,0.0005179786785520689,49708
the social,42,0.0005059326627717883,49708
have been,42,0.0005059326627717883,49708
can be,42,0.0005059326627717883,49708
rise of,41,0.0004938866469915076,49708
did not,41,0.0004938866469915076,49708
in other,41,0.0004938866469915076,49708
they were,41,0.0004938866469915076,49708
of course,40,0.0004818406312112269,49708
the new,40,0.0004818406312112269,49708
with a,39,0.0004697946154309462,49708
when the,39,0.0004697946154309462,49708
of social,39,0.0004697946154309462,49708
into the,38,0.00045774859965066556,49708
more than,38,0.00045774859965066556,49708
they are,38,0.00045774859965066556,49708
all the,38,0.00045774859965066556,49708
in which,38,0.00045774859965066556,49708
of this,37,0.00044570258387038484,49708
history of,37,0.00044570258387038484,49708
that it,37,0.00044570258387038484,49708
much more,37,0.00044570258387038484,49708
has been,37,0.00044570258387038484,49708
in this,36,0.0004336565680901042,49708
there are,36,0.0004336565680901042,49708
in fact,36,0.0004336565680901042,49708
university of,35,0.0004216105523098235,49708
that they,35,0.0004216105523098235,49708
and a,34,0.00040956453652954286,49708
of their,34,0.00040956453652954286,49708
in his,34,0.00040956453652954286,49708
other words,34,0.00040956453652954286,49708
the past,34,0.00040956453652954286,49708
way of,34,0.00040956453652954286,49708
as we,34,0.00040956453652954286,49708
we have,34,0.00040956453652954286,49708
human beings,33,0.0003975185207492622,49708
of people,33,0.0003975185207492622,49708
a lot,33,0.0003975185207492622,49708
among the,33,0.0003975185207492622,49708
had to,32,0.0003854725049689815,49708
we can,31,0.00037342648918870083,49708
the world,31,0.00037342648918870083,49708
number of,31,0.00037342648918870083,49708
want to,31,0.00037342648918870083,49708
for a,31,0.00037342648918870083,49708
of his,31,0.00037342648918870083,49708
to make,31,0.00037342648918870083,49708
are not,31,0.00037342648918870083,49708
the axial,30,0.00036138047340842017,49708
i am,30,0.00036138047340842017,49708
if you,30,0.00036138047340842017,49708
about the,30,0.00036138047340842017,49708
at least,30,0.00036138047340842017,49708
theory of,30,0.00036138047340842017,49708
of violence,30,0.00036138047340842017,49708
smallscale societies,29,0.0003493344576281395,49708
scale of,29,0.0003493344576281395,49708
and then,29,0.0003493344576281395,49708
the great,29,0.0003493344576281395,49708
human societies,29,0.0003493344576281395,49708
of our,29,0.0003493344576281395,49708
oxford university,29,0.0003493344576281395,49708
a very,28,0.0003372884418478588,49708
but it,28,0.0003372884418478588,49708
not only,28,0.0003372884418478588,49708
is no,28,0.0003372884418478588,49708
forms of,28,0.0003372884418478588,49708
the enemy,28,0.0003372884418478588,49708
we are,27,0.00032524242606757814,49708
are the,27,0.00032524242606757814,49708
according to,27,0.00032524242606757814,49708
in human,27,0.00032524242606757814,49708
part of,27,0.00032524242606757814,49708
axial age,26,0.0003131964102872975,49708
to do,26,0.0003131964102872975,49708
that we,26,0.0003131964102872975,49708
the one,26,0.0003131964102872975,49708
a result,26,0.0003131964102872975,49708
each other,26,0.0003131964102872975,49708
war and,26,0.0003131964102872975,49708
we saw,26,0.0003131964102872975,49708
the whole,25,0.0003011503945070168,49708
the end,25,0.0003011503945070168,49708
you are,25,0.0003011503945070168,49708
the next,25,0.0003011503945070168,49708
after the,25,0.0003011503945070168,49708
we see,25,0.0003011503945070168,49708
of warfare,25,0.0003011503945070168,49708
there were,25,0.0003011503945070168,49708
peace and,25,0.0003011503945070168,49708
journal of,25,0.0003011503945070168,49708
on a,24,0.00028910437872673616,49708
thousands of,24,0.00028910437872673616,49708
between the,24,0.00028910437872673616,49708
that is,24,0.00028910437872673616,49708
the roman,24,0.00028910437872673616,49708
of how,24,0.00028910437872673616,49708
and so,24,0.00028910437872673616,49708
group selection,24,0.00028910437872673616,49708
free riders,24,0.00028910437872673616,49708
the american,23,0.00027705836294645544,49708
way to,23,0.00027705836294645544,49708
kind of,23,0.00027705836294645544,49708
the scale,23,0.00027705836294645544,49708
have a,23,0.00027705836294645544,49708
the last,23,0.00027705836294645544,49708
other hand,23,0.00027705836294645544,49708
was not,23,0.00027705836294645544,49708
study of,23,0.00027705836294645544,49708
their own,23,0.00027705836294645544,49708
social evolution,23,0.00027705836294645544,49708
be a,23,0.00027705836294645544,49708
such a,23,0.00027705836294645544,49708
in chapter,23,0.00027705836294645544,49708
in their,23,0.00027705836294645544,49708
the better,23,0.00027705836294645544,49708
of all,23,0.00027705836294645544,49708
the human,22,0.0002650123471661748,49708
from a,22,0.0002650123471661748,49708
before the,22,0.0002650123471661748,49708
how to,22,0.0002650123471661748,49708
would be,22,0.0002650123471661748,49708
there was,22,0.0002650123471661748,49708
the pleistocene,22,0.0002650123471661748,49708
will be,22,0.0002650123471661748,49708
most important,22,0.0002650123471661748,49708
through the,21,0.0002529663313858941,49708
to understand,21,0.0002529663313858941,49708
the united,21,0.0002529663313858941,49708
end of,21,0.0002529663313858941,49708
i have,21,0.0002529663313858941,49708
them to,21,0.0002529663313858941,49708
how the,21,0.0002529663313858941,49708
the process,21,0.0002529663313858941,49708
and in,21,0.0002529663313858941,49708
the more,21,0.0002529663313858941,49708
competition between,21,0.0002529663313858941,49708
human evolution,20,0.00024092031560561344,49708
ability to,20,0.00024092031560561344,49708
result of,20,0.00024092031560561344,49708
and i,20,0.00024092031560561344,49708
is what,20,0.00024092031560561344,49708
the main,20,0.00024092031560561344,49708
the evolutionary,20,0.00024092031560561344,49708
the book,20,0.00024092031560561344,49708
turchin p,19,0.00022887429982533278,49708
göbekli tepe,19,0.00022887429982533278,49708
because the,19,0.00022887429982533278,49708
able to,19,0.00022887429982533278,49708
the problem,19,0.00022887429982533278,49708
so that,19,0.00022887429982533278,49708
of its,19,0.00022887429982533278,49708
kinds of,19,0.00022887429982533278,49708
into a,19,0.00022887429982533278,49708
under the,19,0.00022887429982533278,49708
tend to,19,0.00022887429982533278,49708
within the,19,0.00022887429982533278,49708
out of,19,0.00022887429982533278,49708
lot of,19,0.00022887429982533278,49708
to have,19,0.00022887429982533278,49708
and to,19,0.00022887429982533278,49708
form of,19,0.00022887429982533278,49708
may be,19,0.00022887429982533278,49708
against the,19,0.00022887429982533278,49708
cambridge ma,19,0.00022887429982533278,49708
destructive creation,18,0.0002168282840450521,49708
a large,18,0.0002168282840450521,49708
like the,18,0.0002168282840450521,49708
to cooperate,18,0.0002168282840450521,49708
we will,18,0.0002168282840450521,49708
cooperation in,18,0.0002168282840450521,49708
of them,18,0.0002168282840450521,49708
most of,18,0.0002168282840450521,49708
united states,18,0.0002168282840450521,49708
what is,18,0.0002168282840450521,49708
has a,18,0.0002168282840450521,49708
the rest,18,0.0002168282840450521,49708
the point,18,0.0002168282840450521,49708
and social,18,0.0002168282840450521,49708
the way,18,0.0002168282840450521,49708
we need,18,0.0002168282840450521,49708
based on,18,0.0002168282840450521,49708
and that,18,0.0002168282840450521,49708
multilevel selection,18,0.0002168282840450521,49708
states and,18,0.0002168282840450521,49708
known as,18,0.0002168282840450521,49708
majority of,18,0.0002168282840450521,49708
the state,18,0.0002168282840450521,49708
cultural traits,18,0.0002168282840450521,49708
because they,18,0.0002168282840450521,49708
the military,18,0.0002168282840450521,49708
he is,18,0.0002168282840450521,49708
princeton university,18,0.0002168282840450521,49708
p j,18,0.0002168282840450521,49708
a few,17,0.00020478226826477143,49708
is an,17,0.00020478226826477143,49708
and more,17,0.00020478226826477143,49708
up in,17,0.00020478226826477143,49708
in smallscale,17,0.00020478226826477143,49708
of agriculture,17,0.00020478226826477143,49708
members of,17,0.00020478226826477143,49708
the people,17,0.00020478226826477143,49708
is to,17,0.00020478226826477143,49708
we know,17,0.00020478226826477143,49708
the two,17,0.00020478226826477143,49708
a group,17,0.00020478226826477143,49708
could be,17,0.00020478226826477143,49708
percent of,17,0.00020478226826477143,49708
were the,17,0.00020478226826477143,49708
both the,17,0.00020478226826477143,49708
likely to,17,0.00020478226826477143,49708
to use,17,0.00020478226826477143,49708
complex societies,17,0.00020478226826477143,49708
the transition,17,0.00020478226826477143,49708
that he,17,0.00020478226826477143,49708
mae enga,17,0.00020478226826477143,49708
better angels,17,0.00020478226826477143,49708
press p,17,0.00020478226826477143,49708
of history,16,0.00019273625248449075,49708
the middle,16,0.00019273625248449075,49708
even the,16,0.00019273625248449075,49708
a single,16,0.00019273625248449075,49708
groups of,16,0.00019273625248449075,49708
to get,16,0.00019273625248449075,49708
war is,16,0.00019273625248449075,49708
cooperation is,16,0.00019273625248449075,49708
if we,16,0.00019273625248449075,49708
to give,16,0.00019273625248449075,49708
of thousands,16,0.00019273625248449075,49708
than the,16,0.00019273625248449075,49708
within a,16,0.00019273625248449075,49708
group of,16,0.00019273625248449075,49708
and their,16,0.00019273625248449075,49708
than a,16,0.00019273625248449075,49708
it would,16,0.00019273625248449075,49708
in our,16,0.00019273625248449075,49708
do not,16,0.00019273625248449075,49708
to increase,16,0.00019273625248449075,49708
roman empire,16,0.00019273625248449075,49708
the romans,16,0.00019273625248449075,49708
the group,16,0.00019273625248449075,49708
of such,16,0.00019273625248449075,49708
but they,16,0.00019273625248449075,49708
largescale societies,16,0.00019273625248449075,49708
published in,16,0.00019273625248449075,49708
the steppe,16,0.00019273625248449075,49708
the previous,16,0.00019273625248449075,49708
he was,16,0.00019273625248449075,49708
of archaic,16,0.00019273625248449075,49708
j and,16,0.00019273625248449075,49708
this book,15,0.00018069023670421009,49708
would have,15,0.00018069023670421009,49708
to build,15,0.00018069023670421009,49708
the population,15,0.00018069023670421009,49708
the answer,15,0.00018069023670421009,49708
human nature,15,0.00018069023670421009,49708
that a,15,0.00018069023670421009,49708
the common,15,0.00018069023670421009,49708
back to,15,0.00018069023670421009,49708
living in,15,0.00018069023670421009,49708
a number,15,0.00018069023670421009,49708
people in,15,0.00018069023670421009,49708
is why,15,0.00018069023670421009,49708
wealth and,15,0.00018069023670421009,49708
the theory,15,0.00018069023670421009,49708
warfare in,15,0.00018069023670421009,49708
human sacrifice,15,0.00018069023670421009,49708
is one,15,0.00018069023670421009,49708
not the,15,0.00018069023670421009,49708
a much,15,0.00018069023670421009,49708
rather than,15,0.00018069023670421009,49708
more important,15,0.00018069023670421009,49708
a new,15,0.00018069023670421009,49708
nature of,15,0.00018069023670421009,49708
war the,15,0.00018069023670421009,49708
the selfish,15,0.00018069023670421009,49708
selfish gene,15,0.00018069023670421009,49708
should be,15,0.00018069023670421009,49708
of inequality,15,0.00018069023670421009,49708
warfare among,15,0.00018069023670421009,49708
harvard university,15,0.00018069023670421009,49708
evolution and,14,0.0001686442209239294,49708
that would,14,0.0001686442209239294,49708
how many,14,0.0001686442209239294,49708
side of,14,0.0001686442209239294,49708
example of,14,0.0001686442209239294,49708
hard to,14,0.0001686442209239294,49708
see the,14,0.0001686442209239294,49708
some of,14,0.0001686442209239294,49708
to see,14,0.0001686442209239294,49708
this was,14,0.0001686442209239294,49708
of these,14,0.0001686442209239294,49708
had been,14,0.0001686442209239294,49708
the overall,14,0.0001686442209239294,49708
very different,14,0.0001686442209239294,49708
that of,14,0.0001686442209239294,49708
which is,14,0.0001686442209239294,49708
societies in,14,0.0001686442209239294,49708
you have,14,0.0001686442209239294,49708
well as,14,0.0001686442209239294,49708
evolution is,14,0.0001686442209239294,49708
the best,14,0.0001686442209239294,49708
of life,14,0.0001686442209239294,49708
men and,14,0.0001686442209239294,49708
the majority,14,0.0001686442209239294,49708
be the,14,0.0001686442209239294,49708
to become,14,0.0001686442209239294,49708
a better,14,0.0001686442209239294,49708
or the,14,0.0001686442209239294,49708
of which,14,0.0001686442209239294,49708
needs to,14,0.0001686442209239294,49708
the price,14,0.0001686442209239294,49708
team sports,13,0.00015659820514364874,49708
like a,13,0.00015659820514364874,49708
the iss,13,0.00015659820514364874,49708
hundreds of,13,0.00015659820514364874,49708
is much,13,0.00015659820514364874,49708
is in,13,0.00015659820514364874,49708
the right,13,0.00015659820514364874,49708
the only,13,0.00015659820514364874,49708
to work,13,0.00015659820514364874,49708
the european,13,0.00015659820514364874,49708
not to,13,0.00015659820514364874,49708
you can,13,0.00015659820514364874,49708
had a,13,0.00015659820514364874,49708
the history,13,0.00015659820514364874,49708
it has,13,0.00015659820514364874,49708
as they,13,0.00015659820514364874,49708
they could,13,0.00015659820514364874,49708
the king,13,0.00015659820514364874,49708
people who,13,0.00015659820514364874,49708
a more,13,0.00015659820514364874,49708
have to,13,0.00015659820514364874,49708
was in,13,0.00015659820514364874,49708
the second,13,0.00015659820514364874,49708
up to,13,0.00015659820514364874,49708
but in,13,0.00015659820514364874,49708
which the,13,0.00015659820514364874,49708
why the,13,0.00015659820514364874,49708
the old,13,0.00015659820514364874,49708
the study,13,0.00015659820514364874,49708
of evolution,13,0.00015659820514364874,49708
it doesn't,13,0.00015659820514364874,49708
the modern,13,0.00015659820514364874,49708
while the,13,0.00015659820514364874,49708
the war,13,0.00015659820514364874,49708
just as,13,0.00015659820514364874,49708
on their,13,0.00015659820514364874,49708
and his,13,0.00015659820514364874,49708
they had,13,0.00015659820514364874,49708
cooperation and,13,0.00015659820514364874,49708
an important,13,0.00015659820514364874,49708
of being,13,0.00015659820514364874,49708
were a,13,0.00015659820514364874,49708
a great,13,0.00015659820514364874,49708
between societies,13,0.00015659820514364874,49708
price equation,13,0.00015659820514364874,49708
cooperators and,13,0.00015659820514364874,49708
new guinea,13,0.00015659820514364874,49708
and r,13,0.00015659820514364874,49708
the greatest,12,0.00014455218936336808,49708
force of,12,0.00014455218936336808,49708
in america,12,0.00014455218936336808,49708
since the,12,0.00014455218936336808,49708
the ground,12,0.00014455218936336808,49708
answer is,12,0.00014455218936336808,49708
violence and,12,0.00014455218936336808,49708
and we,12,0.00014455218936336808,49708
language and,12,0.00014455218936336808,49708
